#
#"Frequency / GHz"	"Group Delay 2(1)1(1) [Real Part]"
#----------------------------------------------------
35.575300000000	0.23990910271224
35.575900000000	0.23997628382539
35.576500000000	0.24004355535594
35.577100000000	0.24011096119976
35.577700000000	0.24017833692951
35.578300000000	0.24024596296084
35.578900000000	0.24031362695489
35.579500000000	0.24038135666321
35.580100000000	0.24044922057956
35.580700000000	0.24051717672241
35.581300000000	0.24058523971160
35.581900000000	0.24065333386743
35.582500000000	0.24072161604655
35.583100000000	0.24078995225999
35.583700000000	0.24085839521726
35.584300000000	0.24092693053604
35.584900000000	0.24099557879586
35.585500000000	0.24106429933064
35.586100000000	0.24113317107382
35.586700000000	0.24120209163107
35.587300000000	0.24127111479403
35.587900000000	0.24134025908741
35.588500000000	0.24140946381325
35.589100000000	0.24147884140653
35.589700000000	0.24154826174653
35.590300000000	0.24161784631206
35.590900000000	0.24168743858396
35.591500000000	0.24175718084156
35.592100000000	0.24182704525319
35.592700000000	0.24189693438942
35.593300000000	0.24196702286028
35.593900000000	0.24203716778837
35.594500000000	0.24210743396018
35.595100000000	0.24217768638552
35.595700000000	0.24224821859792
35.596300000000	0.24231876755864
35.596900000000	0.24238939516248
35.597500000000	0.24246018114565
35.598100000000	0.24253102119785
35.598700000000	0.24260204776155
35.599300000000	0.24267302586495
35.599900000000	0.24274425375517
35.600500000000	0.24281550735914
35.601100000000	0.24288687055711
35.601700000000	0.24295840369081
35.602300000000	0.24302993042215
35.602900000000	0.24310168875292
35.603500000000	0.24317343502525
35.604100000000	0.24324536054358
35.604700000000	0.24331737608751
35.605300000000	0.24338947067171
35.605900000000	0.24346173407441
35.606500000000	0.24353401642965
35.607100000000	0.24360645430534
35.607700000000	0.24367899075303
35.608300000000	0.24375163417570
35.608900000000	0.24382438206315
35.609500000000	0.24389724340901
35.610100000000	0.24397017506979
35.610700000000	0.24404329006296
35.611300000000	0.24411645740418
35.611900000000	0.24418975092214
35.612500000000	0.24426313631880
35.613100000000	0.24433663209287
35.613700000000	0.24441023987217
35.614300000000	0.24448395030633
35.614900000000	0.24455779166761
35.615500000000	0.24463177041495
35.616100000000	0.24470573536737
35.616700000000	0.24477993800606
35.617300000000	0.24485418003844
35.617900000000	0.24492858640356
35.618500000000	0.24500305953246
35.619100000000	0.24507761319703
35.619700000000	0.24515234457466
35.620300000000	0.24522717216373
35.620900000000	0.24530208380329
35.621500000000	0.24537713514844
35.622100000000	0.24545225416279
35.622700000000	0.24552753922860
35.623300000000	0.24560292412068
35.623900000000	0.24567837148407
35.624500000000	0.24575398070199
35.625100000000	0.24582966296396
35.625700000000	0.24590550463433
35.626300000000	0.24598145944999
35.626900000000	0.24605748216996
35.627500000000	0.24613364641715
35.628100000000	0.24620992720940
35.628700000000	0.24628626879448
35.629300000000	0.24636281286889
35.629900000000	0.24643941556437
35.630500000000	0.24651615402865
35.631100000000	0.24659296694990
35.631700000000	0.24666991740063
35.632300000000	0.24674705140539
35.632900000000	0.24682418444391
35.633500000000	0.24690150596982
35.634100000000	0.24697890110887
35.634700000000	0.24705647075338
35.635300000000	0.24713410422455
35.635900000000	0.24721188868707
35.636500000000	0.24728975409555
35.637100000000	0.24736774613564
35.637700000000	0.24744587507359
35.638300000000	0.24752411804332
35.638900000000	0.24760247088898
35.639500000000	0.24768090059142
35.640100000000	0.24775954783573
35.640700000000	0.24783822274721
35.641300000000	0.24791702149966
35.641900000000	0.24799604112665
35.642500000000	0.24807503114769
35.643100000000	0.24815423835165
35.643700000000	0.24823354983508
35.644300000000	0.24831294681649
35.644900000000	0.24839250575502
35.645500000000	0.24847216335228
35.646100000000	0.24855194785484
35.646700000000	0.24863183481051
35.647300000000	0.24871186289085
35.647900000000	0.24879200877611
35.648500000000	0.24887229072201
35.649100000000	0.24895265423097
35.649700000000	0.24903319097836
35.650300000000	0.24911379661969
35.650900000000	0.24919455793548
35.651500000000	0.24927543008752
35.652100000000	0.24935641355647
35.652700000000	0.24943757882541
35.653300000000	0.24951876685956
35.653900000000	0.24960017372480
35.654500000000	0.24968165116530
35.655100000000	0.24976326196756
35.655700000000	0.24984502929344
35.656300000000	0.24992689674973
35.656900000000	0.25000884949457
35.657500000000	0.25009098674887
35.658100000000	0.25017321786981
35.658700000000	0.25025561923363
35.659300000000	0.25033806893692
35.659900000000	0.25042068192913
35.660500000000	0.25050346713590
35.661100000000	0.25058631076165
35.661700000000	0.25066934024854
35.662300000000	0.25075242969412
35.662900000000	0.25083570633469
35.663500000000	0.25091906660067
35.664100000000	0.25100258493530
35.664700000000	0.25108622562145
35.665300000000	0.25117000065168
35.665900000000	0.25125386127891
35.666500000000	0.25133791860113
35.667100000000	0.25142203918389
35.667700000000	0.25150635307468
35.668300000000	0.25159075983712
35.668900000000	0.25167528286756
35.669500000000	0.25175996164309
35.670100000000	0.25184478295573
35.670700000000	0.25192971454369
35.671300000000	0.25201475468274
35.671900000000	0.25209996998852
35.672500000000	0.25218530215560
35.673100000000	0.25227074475628
35.673700000000	0.25235633334810
35.674300000000	0.25244208668850
35.674900000000	0.25252791434910
35.675500000000	0.25261393539709
35.676100000000	0.25270004498898
35.676700000000	0.25278629019242
35.677300000000	0.25287268863785
35.677900000000	0.25295923696090
35.678500000000	0.25304588091079
35.679100000000	0.25313267143315
35.679700000000	0.25321961705027
35.680300000000	0.25330665570866
35.680900000000	0.25339388519784
35.681500000000	0.25348122015607
35.682100000000	0.25356867953941
35.682700000000	0.25365630884404
35.683300000000	0.25374403428092
35.683900000000	0.25383192961616
35.684500000000	0.25391994186530
