freq	dBm(hunpinf)
2.25454545454545396E8	-7.19687312147146407E1
2.27272727272727249E8	-6.98959982490045029E1
2.29090909090909101E8	-7.39926536067496698E1
2.30909090909090908E8	-7.76559955228235488E1
2.32727272727272716E8	-7.24279465711618364E1
2.34545454545454479E8	-6.96093203658304294E1
2.36363636363636331E8	-7.36875608442284147E1
2.38181818181818183E8	-9.58655849747991162E1
2.39999999999999991E8	-7.82581011539531168E1
2.41818181818181799E8	-7.50150455738470612E1
2.43636363636363606E8	-7.62946249454923020E1
2.45454545454545414E8	-7.82312416576972947E1
2.47272727272727266E8	-6.78716315827779670E1
2.49090909090909118E8	-6.68136629200190235E1
2.50909090909090882E8	-7.03446344816499014E1
2.52727272727272734E8	-7.10463044843404212E1
2.54545454545454497E8	-6.74752585517528036E1
2.56363636363636349E8	-6.83409038700542926E1
2.58181818181818201E8	-7.60393880812286937E1
2.60000000000000009E8	-7.24528131643809736E1
2.61818181818181817E8	-6.77155534218976918E1
2.63636363636363624E8	-7.01639041077234271E1
2.65454545454545388E8	-7.21031952660904807E1
2.67272727272727284E8	-6.81454509890873084E1
2.69090909090909047E8	-6.90907780013758632E1
2.70909090909090855E8	-7.65312578250419939E1
2.72727272727272707E8	-7.45655016024083483E1
2.74545454545454604E8	-7.26968093179363262E1
2.76363636363636367E8	-8.23138310688513819E1
2.78181818181818219E8	-7.30026574432605724E1
2.79999999999999982E8	-6.85335805548797605E1
2.81818181818181746E8	-6.83856611043773643E1
2.83636363636363642E8	-7.05986885891451799E1
2.85454545454545405E8	-6.83430640487706320E1
2.87272727272727257E8	-6.89501035138592488E1
2.89090909090909065E8	-7.40784849488750563E1
2.90909090909090873E8	-6.94951856109749322E1
2.92727272727272680E8	-6.73526555395019422E1
2.94545454545454621E8	-6.77438036736420379E1
2.96363636363636385E8	-6.92857433073721474E1
2.98181818181818237E8	-6.65519856976415802E1
3.00000000000000000E8	-6.73404367473992060E1
3.01818181818181763E8	-7.29007363634322036E1
3.03636363636363615E8	-7.34536316526627964E1
3.05454545454545379E8	-7.28770654086998881E1
3.07272727272727275E8	-8.04822557800460991E1
3.09090909090909083E8	-7.98844257476644515E1
3.10909090909090846E8	-7.94718247855770965E1
3.12727272727272698E8	-8.90480354892748238E1
3.14545454545454595E8	-7.85916376222108504E1
3.16363636363636358E8	-7.91707850296869520E1
3.18181818181818254E8	-8.27403717396193095E1
3.20000000000000018E8	-7.37726776146786989E1
3.21818181818181737E8	-7.28140799751836010E1
3.23636363636363589E8	-7.44571118042054714E1
3.25454545454545396E8	-6.95554280679190118E1
3.27272727272727249E8	-6.62477604349072102E1
3.29090909090909056E8	-6.60907957009469271E1
3.30909090909090864E8	-6.66438944228638253E1
3.32727272727272672E8	-6.48597134893723570E1
3.34545454545454524E8	-6.52821619291241273E1
3.36363636363636420E8	-6.78064241995293759E1
3.38181818181818272E8	-6.70899553668907611E1
3.39999999999999991E8	-6.36579150407368566E1
3.41818181818181710E8	-6.29446389462826073E1
3.43636363636363606E8	-6.31102086829189801E1
3.45454545454545459E8	-6.28693525087952576E1
3.47272727272727177E8	-6.45945592496228205E1
3.49090909090909074E8	-6.86771661900188057E1
3.50909090909090882E8	-7.03291109540447046E1
3.52727272727272645E8	-6.75193090096761228E1
3.54545454545454541E8	-6.76554128116715425E1
3.56363636363636394E8	-6.80600184737723346E1
3.58181818181818290E8	-6.53685669481024956E1
3.60000000000000009E8	-6.58135481765806496E1
3.61818181818181728E8	-7.02529603023774918E1
3.63636363636363580E8	-7.30610948440186014E1
3.65454545454545476E8	-7.23733272055822674E1
3.67272727272727195E8	-7.63006518907689912E1
3.69090909090909047E8	-7.92117705250756110E1
3.70909090909090855E8	-7.20163815149989439E1
3.72727272727272663E8	-7.05734548817745821E1
3.74545454545454515E8	-7.76559720772054884E1
3.76363636363636411E8	-7.90782378146693077E1
3.78181818181818263E8	-7.18236921246154303E1
3.79999999999999982E8	-6.77113286387498459E1
3.81818181818181746E8	-6.69211240346773462E1
3.83636363636363598E8	-6.83458869270024216E1
3.85454545454545450E8	-6.97759044051477950E1
3.87272727272727213E8	-6.93537142719549671E1
3.89090909090909065E8	-7.15297736263468931E1
3.90909090909090873E8	-7.12140493153755649E1
3.92727272727272680E8	-6.72812964072554642E1
3.94545454545454533E8	-6.58583876701533644E1
3.96363636363636385E8	-6.68904940182599539E1
3.98181818181818281E8	-6.80045737117430349E1
4.00000000000000000E8	-6.77551504619223088E1
4.01818181818181763E8	-6.83497674346834305E1
4.03636363636363615E8	-6.95634871324315629E1
4.05454545454545467E8	-6.79954787832926577E1
4.07272727272727231E8	-6.82873912099950253E1
4.09090909090909083E8	-6.88124785223853053E1
4.10909090909090846E8	-6.87206838770389350E1
4.12727272727272698E8	-7.05175411370113370E1
4.14545454545454639E8	-7.91165133674294374E1
4.16363636363636402E8	-8.30696591122531203E1
4.18181818181818166E8	-8.14120848623648641E1
4.20000000000000018E8	-9.06876030618783524E1
4.21818181818181781E8	-7.87406126275353557E1
4.23636363636363633E8	-7.55247974788769483E1
4.25454545454545485E8	-7.51639773062403371E1
4.27272727272727160E8	-7.24707493770915789E1
4.29090909090909012E8	-7.62238917773539715E1
4.30909090909090775E8	-8.47583630711028491E1
4.32727272727272627E8	-7.57643974574124002E1
4.34545454545454568E8	-7.07887045155858896E1
4.36363636363636420E8	-7.16325172297178092E1
4.38181818181818183E8	-7.20917730822062452E1
4.40000000000000036E8	-6.85362943488942467E1
4.41818181818181799E8	-6.78480872952115277E1
4.43636363636363562E8	-6.84436323111480771E1
4.45454545454545503E8	-6.63261430103629301E1
4.47272727272727177E8	-6.53879641169629355E1
4.49090909090909030E8	-6.61686961426072351E1
4.50909090909090793E8	-6.45233270741617737E1
4.52727272727272645E8	-6.29342748652342276E1
4.54545454545454497E8	-6.49021560867746139E1
4.56363636363636438E8	-6.89566450712338241E1
4.58181818181818201E8	-6.91161519011696424E1
4.59999999999999964E8	-6.90313280216393821E1
4.61818181818181817E8	-7.01364869503525501E1
4.63636363636363580E8	-6.87110636485242487E1
4.65454545454545432E8	-7.01491397300837605E1
4.67272727272727195E8	-7.79967857298260903E1
4.69090909090908958E8	-7.40223385469048623E1
4.70909090909090811E8	-7.17968900635614737E1
4.72727272727272663E8	-8.16225119047609660E1
4.74545454545454515E8	-1.21928910550835612E2
4.76363636363636367E8	-7.81081767821186723E1
4.78181818181818219E8	-7.60259243771396864E1
4.79999999999999982E8	-7.01456596421995293E1
4.81818181818181834E8	-6.77551487070120384E1
4.83636363636363598E8	-7.31575242572065765E1
4.85454545454545450E8	-7.74242632171398970E1
4.87272727272727213E8	-7.00512135745046560E1
4.89090909090908976E8	-6.82074755039599445E1
4.90909090909090828E8	-7.07055258740113679E1
4.92727272727272680E8	-6.78352451420793479E1
4.94545454545454533E8	-6.44661688334719507E1
4.96363636363636385E8	-6.50883271335814140E1
4.98181818181818237E8	-6.68941297343116492E1
5.00000000000000000E8	-6.77629479643376520E1


