freq	dB(S(2,1))
3.01379999999999981E10	-1.93220045162242715E2
3.01390000000000002E10	-1.93210046767360200E2
3.01399999999999979E10	-1.93200047123462637E2
3.01410000000000000E10	-1.93190046230163226E2
3.01419999999999977E10	-1.93180044087074987E2
3.01429999999999998E10	-1.93170040693810563E2
3.01439999999999975E10	-1.93160036049982620E2
3.01449999999999996E10	-1.93150030155203711E2
3.01459999999999972E10	-1.93140023009085970E2
3.01469999999999994E10	-1.93130014611241596E2
3.01480000000000015E10	-1.93120004961282454E2
3.01489999999999991E10	-1.93109994058820367E2
3.01499999999999968E10	-1.93099981903466866E2
3.01509999999999989E10	-1.93089968494833508E2
3.01519999999999966E10	-1.93079953832531470E2
3.01530000000000031E10	-1.93069937916171774E2
3.01540000000000052E10	-1.93059920745365510E2
3.01550000000000029E10	-1.93049902319723232E2
3.01560000000000006E10	-1.93039882638855653E2
3.01569999999999983E10	-1.93029861702373151E2
3.01580000000000048E10	-1.93019839509885927E2
3.01590000000000025E10	-1.93009816061004114E2
3.01600000000000046E10	-1.92999791355337580E2
3.01610000000000023E10	-1.92989765392495971E2
3.01619999999999999E10	-1.92979738172089021E2
3.01630000000000020E10	-1.92969709693725866E2
3.01639999999999997E10	-1.92959679957015995E2
3.01649999999999974E10	-1.92949648961568276E2
3.01659999999999950E10	-1.92939616706991535E2
3.01669999999999927E10	-1.92929583192894638E2
3.01679999999999993E10	-1.92919548418886033E2
3.01690000000000014E10	-1.92909512384574033E2
3.01699999999999990E10	-1.92899475089566863E2
3.01710000000000012E10	-1.92889436533472569E2
3.01719999999999988E10	-1.92879396715898954E2
3.01730000000000009E10	-1.92869355636453643E2
3.01739999999999986E10	-1.92859313294744261E2
3.01750000000000007E10	-1.92849269690377989E2
3.01759999999999984E10	-1.92839224822962052E2
3.01770000000000005E10	-1.92829178692103431E2
3.01780000000000026E10	-1.92819131297408930E2
3.01790000000000003E10	-1.92809082638485196E2
3.01799999999999979E10	-1.92799032714938678E2
3.01810000000000000E10	-1.92788981526375625E2
3.01819999999999977E10	-1.92778929072402194E2
3.01830000000000043E10	-1.92768875352624347E2
3.01840000000000064E10	-1.92758820366647821E2
3.01850000000000041E10	-1.92748764114078197E2
3.01860000000000017E10	-1.92738706594521014E2
3.01869999999999994E10	-1.92728647807581344E2
3.01879999999999971E10	-1.92718587752864390E2
3.01889999999999992E10	-1.92708526429975069E2
3.01899999999999968E10	-1.92698463838518030E2
3.01909999999999945E10	-1.92688399978097813E2
3.01919999999999966E10	-1.92678334848318933E2
3.01930000000000032E10	-1.92668268448785440E2
3.01940000000000008E10	-1.92658200779101496E2
3.01949999999999985E10	-1.92648131838870884E2
3.01959999999999962E10	-1.92638061627697321E2
3.01969999999999938E10	-1.92627990145184280E2
3.01980000000000004E10	-1.92617917390935212E2
3.01990000000000025E10	-1.92607843364553100E2
3.02000000000000002E10	-1.92597768065641040E2
3.02010000000000023E10	-1.92587691493801882E2
3.02020000000000000E10	-1.92577613648638168E2
3.02030000000000021E10	-1.92567534529752438E2
3.02039999999999997E10	-1.92557454136746919E2
3.02050000000000018E10	-1.92547372469223754E2
3.02059999999999995E10	-1.92537289526784816E2
3.02070000000000016E10	-1.92527205309032001E2
3.02080000000000037E10	-1.92517119815566784E2
3.02090000000000014E10	-1.92507033045990572E2
3.02099999999999991E10	-1.92496944999904729E2
3.02110000000000012E10	-1.92486855676910085E2
3.02119999999999989E10	-1.92476765076607714E2
3.02130000000000010E10	-1.92466673198598270E2
3.02139999999999986E10	-1.92456580042482273E2
3.02149999999999963E10	-1.92446485607860085E2
3.02159999999999984E10	-1.92436389894331827E2
3.02169999999999961E10	-1.92426292901497575E2
3.02179999999999982E10	-1.92416194628957138E2
3.02190000000000003E10	-1.92406095076310057E2
3.02199999999999980E10	-1.92395994243155966E2
3.02209999999999956E10	-1.92385892129094072E2
3.02219999999999978E10	-1.92375788733723452E2
3.02230000000000043E10	-1.92365684056643138E2
3.02240000000000020E10	-1.92355578097451874E2
3.02249999999999996E10	-1.92345470855748135E2
3.02259999999999973E10	-1.92335362331130422E2
3.02269999999999950E10	-1.92325252523197032E2
3.02280000000000015E10	-1.92315141431545866E2
3.02290000000000036E10	-1.92305029055774890E2
3.02300000000000013E10	-1.92294915395481780E2
3.02310000000000034E10	-1.92284800450263971E2
3.02320000000000011E10	-1.92274684219718961E2
3.02330000000000032E10	-1.92264566703443807E2
3.02340000000000009E10	-1.92254447901035452E2
3.02350000000000030E10	-1.92244327812090821E2
3.02360000000000007E10	-1.92234206436206501E2
3.02370000000000028E10	-1.92224083772978815E2
3.02380000000000004E10	-1.92213959822004155E2
3.02389999999999981E10	-1.92203834582878663E2
3.02400000000000002E10	-1.92193708055198131E2
3.02409999999999979E10	-1.92183580238558283E2
3.02419999999999956E10	-1.92173451132554796E2
3.02430000000000021E10	-1.92163320736782883E2
3.02439999999999998E10	-1.92153189050837847E2
3.02449999999999974E10	-1.92143056074314700E2
3.02459999999999996E10	-1.92132921806808210E2
3.02469999999999972E10	-1.92122786247913102E2
3.02479999999999993E10	-1.92112649397223834E2
3.02490000000000014E10	-1.92102511254334596E2
3.02499999999999991E10	-1.92092371818839647E2
3.02509999999999968E10	-1.92082231090332844E2
3.02519999999999989E10	-1.92072089068407936E2
3.02530000000000054E10	-1.92061945752658536E2
3.02540000000000031E10	-1.92051801142678080E2
3.02550000000000008E10	-1.92041655238059628E2
3.02559999999999985E10	-1.92031508038396304E2
3.02569999999999961E10	-1.92021359543281034E2
3.02580000000000027E10	-1.92011209752306344E2
3.02590000000000048E10	-1.92001058665064805E2
3.02600000000000025E10	-1.91990906281148699E2
3.02610000000000046E10	-1.91980752600150173E2
3.02620000000000022E10	-1.91970597621661088E2
3.02629999999999999E10	-1.91960441345273414E2
3.02639999999999976E10	-1.91950283770578456E2
3.02649999999999952E10	-1.91940124897167808E2
3.02659999999999973E10	-1.91929964724632685E2
3.02669999999999950E10	-1.91919803252563992E2
3.02680000000000016E10	-1.91909640480552635E2
3.02689999999999992E10	-1.91899476408189384E2
3.02700000000000014E10	-1.91889311035064614E2
3.02709999999999990E10	-1.91879144360768739E2
3.02719999999999967E10	-1.91868976384891710E2
3.02730000000000032E10	-1.91858807107023632E2
3.02740000000000009E10	-1.91848636526754257E2
3.02749999999999986E10	-1.91838464643673023E2
3.02760000000000007E10	-1.91828291457369415E2
3.02769999999999984E10	-1.91818116967432739E2
3.02780000000000005E10	-1.91807941173451790E2
3.02790000000000026E10	-1.91797764075015631E2
3.02800000000000002E10	-1.91787585671712857E2
3.02809999999999979E10	-1.91777405963131864E2
3.02820000000000000E10	-1.91767224948861004E2
3.02830000000000066E10	-1.91757042628488472E2
3.02840000000000042E10	-1.91746859001602021E2
3.02850000000000019E10	-1.91736674067789470E2
3.02859999999999996E10	-1.91726487826638481E2
3.02869999999999973E10	-1.91716300277736273E2
3.02879999999999994E10	-1.91706111420670089E2
3.02889999999999970E10	-1.91695921255026991E2
3.02899999999999991E10	-1.91685729780393754E2
3.02909999999999968E10	-1.91675536996356977E2
3.02919999999999945E10	-1.91665342902503189E2
3.02930000000000010E10	-1.91655147498418588E2
3.02939999999999987E10	-1.91644950783689216E2
3.02949999999999964E10	-1.91634752757901117E2
3.02959999999999985E10	-1.91624553420639931E2
3.02969999999999962E10	-1.91614352771491125E2
3.02980000000000027E10	-1.91604150810040141E2
3.02990000000000004E10	-1.91593947535872045E2
3.03000000000000025E10	-1.91583742948571856E2
3.03010000000000002E10	-1.91573537047724374E2
3.03019999999999978E10	-1.91563329832914109E2
3.03030000000000044E10	-1.91553121303725549E2
3.03040000000000020E10	-1.91542911459742937E2
3.03049999999999997E10	-1.91532700300550229E2
3.03060000000000018E10	-1.91522487825731358E2
3.03069999999999995E10	-1.91512274034869989E2
3.03080000000000016E10	-1.91502058927549501E2
3.03090000000000037E10	-1.91491842503353338E2
3.03100000000000014E10	-1.91481624761864500E2
3.03109999999999991E10	-1.91471405702665964E2
3.03120000000000012E10	-1.91461185325340355E2
3.03129999999999988E10	-1.91450963629470405E2
3.03140000000000009E10	-1.91440740614638338E2
3.03149999999999986E10	-1.91430516280426311E2
3.03159999999999963E10	-1.91420290626416434E2
3.03169999999999984E10	-1.91410063652190354E2
3.03180000000000005E10	-1.91399835357329762E2
3.03189999999999982E10	-1.91389605741416124E2
3.03200000000000003E10	-1.91379374804030600E2
3.03209999999999980E10	-1.91369142544754256E2
3.03219999999999956E10	-1.91358908963167940E2
3.03230000000000022E10	-1.91348674058852319E2
3.03239999999999998E10	-1.91338437831387864E2
3.03249999999999975E10	-1.91328200280354954E2
3.03259999999999996E10	-1.91317961405333525E2
3.03269999999999973E10	-1.91307721205903758E2
3.03280000000000038E10	-1.91297479681645077E2
3.03290000000000015E10	-1.91287236832137175E2
3.03300000000000036E10	-1.91276992656959455E2
3.03310000000000013E10	-1.91266747155690919E2
3.03319999999999990E10	-1.91256500327910639E2
3.03330000000000055E10	-1.91246252173197417E2
3.03340000000000032E10	-1.91236002691129814E2
3.03350000000000009E10	-1.91225751881286143E2
3.03360000000000030E10	-1.91215499743244810E2
3.03370000000000006E10	-1.91205246276583618E2
3.03380000000000027E10	-1.91194991480880527E2
3.03390000000000004E10	-1.91184735355713187E2
3.03399999999999981E10	-1.91174477900659023E2
3.03409999999999958E10	-1.91164219115295286E2
3.03419999999999934E10	-1.91153958999199070E2
3.03430000000000000E10	-1.91143697551947200E2
3.03440000000000021E10	-1.91133434773116417E2
3.03449999999999998E10	-1.91123170662283215E2
3.03459999999999974E10	-1.91112905219023910E2
3.03469999999999995E10	-1.91102638442914552E2
3.03480000000000016E10	-1.91092370333531214E2
3.03489999999999993E10	-1.91082100890449480E2
3.03500000000000014E10	-1.91071830113244912E2
3.03509999999999991E10	-1.91061558001492982E2
3.03519999999999968E10	-1.91051284554768697E2
3.03530000000000033E10	-1.91041009772647152E2
3.03540000000000010E10	-1.91030733654703089E2
3.03549999999999986E10	-1.91020456200511002E2
3.03560000000000008E10	-1.91010177409645365E2
3.03569999999999984E10	-1.90999897281680409E2
3.03580000000000050E10	-1.90989615816190073E2
3.03590000000000027E10	-1.90979333012748209E2
3.03600000000000048E10	-1.90969048870928471E2
3.03610000000000024E10	-1.90958763390304220E2
3.03620000000000001E10	-1.90948476570448733E2
3.03629999999999978E10	-1.90938188410935084E2
3.03639999999999954E10	-1.90927898911335991E2
3.03649999999999975E10	-1.90917608071224310E2
3.03659999999999952E10	-1.90907315890172380E2
3.03669999999999973E10	-1.90897022367752500E2
3.03680000000000039E10	-1.90886727503536724E2
3.03690000000000015E10	-1.90876431297097038E2
3.03699999999999992E10	-1.90866133748005007E2
3.03709999999999969E10	-1.90855834855832174E2
3.03719999999999946E10	-1.90845534620149904E2
3.03730000000000011E10	-1.90835233040529251E2
3.03740000000000032E10	-1.90824930116541092E2
3.03750000000000009E10	-1.90814625847756214E2
3.03759999999999986E10	-1.90804320233745139E2
3.03770000000000007E10	-1.90794013274078122E2
3.03780000000000028E10	-1.90783704968325440E2
3.03790000000000004E10	-1.90773395316056948E2
3.03800000000000026E10	-1.90763084316842368E2
3.03810000000000002E10	-1.90752771970251334E2
3.03819999999999979E10	-1.90742458275853077E2
3.03830000000000044E10	-1.90732143233216922E2
3.03840000000000021E10	-1.90721826841911724E2
3.03849999999999998E10	-1.90711509101506271E2
3.03860000000000019E10	-1.90701190011569222E2
3.03869999999999996E10	-1.90690869571668808E2
3.03879999999999972E10	-1.90680547781373333E2
3.03889999999999993E10	-1.90670224640250785E2
3.03899999999999970E10	-1.90659900147868844E2
3.03909999999999991E10	-1.90649574303795188E2
3.03919999999999968E10	-1.90639247107597321E2
3.03929999999999989E10	-1.90628918558842209E2
3.03939999999999966E10	-1.90618588657097021E2
3.03949999999999987E10	-1.90608257401928571E2
3.03959999999999964E10	-1.90597924792903450E2
3.03969999999999985E10	-1.90587590829587983E2
3.03980000000000050E10	-1.90577255511548538E2
3.03990000000000027E10	-1.90566918838351040E2
3.04000000000000004E10	-1.90556580809561327E2
3.04009999999999980E10	-1.90546241424745055E2
3.04019999999999957E10	-1.90535900683467574E2
3.04030000000000022E10	-1.90525558585294208E2
3.04040000000000044E10	-1.90515215129790016E2
3.04050000000000020E10	-1.90504870316519748E2
3.04059999999999997E10	-1.90494524145048016E2
3.04070000000000018E10	-1.90484176614939460E2
3.04080000000000039E10	-1.90473827725758049E2
3.04090000000000016E10	-1.90463477477067999E2
3.04100000000000037E10	-1.90453125868433171E2
3.04110000000000014E10	-1.90442772899417068E2
3.04119999999999990E10	-1.90432418569583217E2
3.04130000000000011E10	-1.90422062878494947E2
3.04139999999999988E10	-1.90411705825715183E2
3.04150000000000009E10	-1.90401347410806854E2
3.04159999999999986E10	-1.90390987633332598E2
3.04169999999999963E10	-1.90380626492854832E2
3.04179999999999984E10	-1.90370263988935795E2
3.04190000000000005E10	-1.90359900121137637E2
3.04199999999999982E10	-1.90349534889022109E2
3.04210000000000003E10	-1.90339168292150918E2
3.04219999999999979E10	-1.90328800330085501E2
3.04230000000000000E10	-1.90318431002387101E2
3.04239999999999977E10	-1.90308060308616755E2
3.04249999999999998E10	-1.90297688248335395E2
3.04259999999999975E10	-1.90287314821103548E2
3.04269999999999996E10	-1.90276940026481789E2
3.04280000000000062E10	-1.90266563864030336E2
3.04290000000000038E10	-1.90256186333309185E2
3.04300000000000015E10	-1.90245807433878200E2
3.04309999999999992E10	-1.90235427165297111E2
3.04319999999999968E10	-1.90225045527125181E2
3.04330000000000034E10	-1.90214662518921851E2
3.04340000000000055E10	-1.90204278140246119E2
3.04350000000000032E10	-1.90193892390656738E2
3.04360000000000008E10	-1.90183505269712394E2
3.04370000000000029E10	-1.90173116776971574E2
3.04380000000000006E10	-1.90162726911992452E2
3.04389999999999983E10	-1.90152335674333139E2
3.04399999999999959E10	-1.90141943063551300E2
3.04409999999999936E10	-1.90131549079204687E2
3.04419999999999957E10	-1.90121153720850811E2
3.04430000000000023E10	-1.90110756988046736E2
3.04440000000000000E10	-1.90100358880349529E2
3.04450000000000021E10	-1.90089959397316077E2
3.04459999999999997E10	-1.90079558538502913E2
3.04469999999999974E10	-1.90069156303466436E2
3.04479999999999995E10	-1.90058752691763000E2
3.04490000000000016E10	-1.90048347702948428E2
3.04499999999999993E10	-1.90037941336578586E2
3.04510000000000014E10	-1.90027533592209186E2
3.04519999999999991E10	-1.90017124469395426E2
3.04530000000000012E10	-1.90006713967692642E2
3.04539999999999988E10	-1.89996302086655788E2
3.04550000000000010E10	-1.89985888825839622E2
3.04559999999999986E10	-1.89975474184798721E2
3.04570000000000007E10	-1.89965058163087508E2
3.04580000000000073E10	-1.89954640760260074E2
3.04590000000000050E10	-1.89944221975870420E2
3.04600000000000026E10	-1.89933801809472369E2
3.04610000000000003E10	-1.89923380260619368E2
3.04619999999999980E10	-1.89912957328864840E2
3.04630000000000001E10	-1.89902533013761921E2
3.04639999999999977E10	-1.89892107314863523E2
3.04649999999999954E10	-1.89881680231722361E2
3.04659999999999975E10	-1.89871251763891058E2
3.04669999999999952E10	-1.89860821910921862E2
3.04680000000000017E10	-1.89850390672366909E2
3.04689999999999994E10	-1.89839958047778090E2
3.04699999999999971E10	-1.89829524036707076E2
3.04709999999999948E10	-1.89819088638705447E2
3.04719999999999969E10	-1.89808651853324539E2
3.04730000000000034E10	-1.89798213680115291E2
3.04740000000000011E10	-1.89787774118628638E2
3.04750000000000032E10	-1.89777333168415341E2
3.04760000000000009E10	-1.89766890829025736E2
3.04769999999999985E10	-1.89756447100010139E2
3.04780000000000006E10	-1.89746001980918666E2
3.04790000000000028E10	-1.89735555471301032E2
3.04800000000000004E10	-1.89725107570706975E2
3.04810000000000025E10	-1.89714658278685921E2
3.04820000000000002E10	-1.89704207594786989E2
3.04830000000000023E10	-1.89693755518559293E2
3.04840000000000000E10	-1.89683302049551661E2
3.04850000000000021E10	-1.89672847187312610E2
3.04859999999999998E10	-1.89662390931390523E2
3.04870000000000019E10	-1.89651933281333696E2
3.04879999999999995E10	-1.89641474236690000E2
3.04889999999999972E10	-1.89631013797007242E2
3.04899999999999993E10	-1.89620551961832962E2
3.04909999999999970E10	-1.89610088730714521E2
3.04919999999999991E10	-1.89599624103199038E2
3.04930000000000012E10	-1.89589158078833497E2
3.04939999999999989E10	-1.89578690657164595E2
3.04949999999999966E10	-1.89568221837738760E2
3.04959999999999987E10	-1.89557751620102377E2
3.04969999999999963E10	-1.89547280003801499E2
3.04980000000000029E10	-1.89536806988382156E2
3.04990000000000006E10	-1.89526332573389777E2
3.04999999999999982E10	-1.89515856758369994E2
3.05009999999999959E10	-1.89505379542868013E2
3.05019999999999980E10	-1.89494900926428866E2
3.05030000000000046E10	-1.89484420908597384E2
3.05040000000000022E10	-1.89473939488918264E2
3.05050000000000043E10	-1.89463456666935781E2
3.05060000000000020E10	-1.89452972442194212E2
3.05069999999999997E10	-1.89442486814237609E2
3.05080000000000018E10	-1.89431999782609628E2
3.05090000000000039E10	-1.89421511346853899E2
3.05100000000000016E10	-1.89411021506513810E2
3.05110000000000037E10	-1.89400530261132483E2
3.05120000000000013E10	-1.89390037610252793E2
3.05129999999999990E10	-1.89379543553417529E2
3.05140000000000011E10	-1.89369048090169168E2
3.05149999999999988E10	-1.89358551220049987E2
3.05159999999999965E10	-1.89348052942602196E2
3.05169999999999941E10	-1.89337553257367519E2
3.05180000000000007E10	-1.89327052163887610E2
3.05189999999999984E10	-1.89316549661704103E2
3.05200000000000005E10	-1.89306045750358054E2
3.05209999999999981E10	-1.89295540429390519E2
3.05220000000000002E10	-1.89285033698342420E2
3.05230000000000024E10	-1.89274525556754192E2
3.05240000000000000E10	-1.89264016004166358E2
3.05249999999999977E10	-1.89253505040119019E2
3.05259999999999998E10	-1.89242992664152077E2
3.05269999999999975E10	-1.89232478875805410E2
3.05280000000000040E10	-1.89221963674618499E2
3.05290000000000017E10	-1.89211447060130600E2
3.05299999999999994E10	-1.89200929031880838E2
3.05309999999999970E10	-1.89190409589408182E2
3.05319999999999991E10	-1.89179888732251245E2
3.05330000000000057E10	-1.89169366459948440E2
3.05340000000000034E10	-1.89158842772038116E2
3.05350000000000055E10	-1.89148317668058263E2
3.05360000000000031E10	-1.89137791147546608E2
3.05370000000000008E10	-1.89127263210040941E2
3.05379999999999985E10	-1.89116733855078456E2
3.05389999999999961E10	-1.89106203082196389E2
3.05399999999999983E10	-1.89095670890931755E2
3.05409999999999959E10	-1.89085137280821280E2
3.05419999999999936E10	-1.89074602251401380E2
3.05430000000000001E10	-1.89064065802208536E2
3.05440000000000023E10	-1.89053527932778698E2
3.05449999999999999E10	-1.89042988642647813E2
3.05459999999999976E10	-1.89032447931351544E2
3.05469999999999953E10	-1.89021905798425283E2
3.05480000000000018E10	-1.89011362243404291E2
3.05489999999999995E10	-1.89000817265823673E2
3.05500000000000016E10	-1.88990270865218046E2
3.05509999999999993E10	-1.88979723041122116E2
3.05520000000000014E10	-1.88969173793070189E2
3.05530000000000035E10	-1.88958623120596414E2
3.05540000000000012E10	-1.88948071023234787E2
3.05549999999999988E10	-1.88937517500518948E2
3.05560000000000009E10	-1.88926962551982358E2
3.05569999999999986E10	-1.88916406177158391E2
3.05580000000000052E10	-1.88905848375580065E2
3.05590000000000028E10	-1.88895289146780132E2
3.05600000000000005E10	-1.88884728490291387E2
3.05609999999999982E10	-1.88874166405646049E2
3.05620000000000003E10	-1.88863602892376425E2
3.05629999999999979E10	-1.88853037950014513E2
3.05640000000000001E10	-1.88842471578091908E2
3.05649999999999977E10	-1.88831903776140209E2
3.05659999999999954E10	-1.88821334543690855E2
3.05669999999999975E10	-1.88810763880274779E2
3.05679999999999996E10	-1.88800191785422844E2
3.05689999999999973E10	-1.88789618258665826E2
3.05699999999999994E10	-1.88779043299534055E2
3.05709999999999971E10	-1.88768466907557775E2
3.05719999999999947E10	-1.88757889082267072E2
3.05730000000000013E10	-1.88747309823191545E2
3.05740000000000034E10	-1.88736729129860881E2
3.05750000000000011E10	-1.88726147001804345E2
3.05759999999999987E10	-1.88715563438551115E2
3.05769999999999964E10	-1.88704978439630011E2
3.05780000000000030E10	-1.88694392004569833E2
3.05790000000000006E10	-1.88683804132898847E2
3.05800000000000027E10	-1.88673214824145430E2
3.05810000000000004E10	-1.88662624077837582E2
3.05820000000000025E10	-1.88652031893502992E2
3.05830000000000046E10	-1.88641438270669282E2
3.05840000000000023E10	-1.88630843208863896E2
3.05850000000000000E10	-1.88620246707613815E2
3.05860000000000021E10	-1.88609648766446014E2
3.05869999999999997E10	-1.88599049384887207E2
3.05880000000000019E10	-1.88588448562463773E2
3.05889999999999995E10	-1.88577846298702001E2
3.05899999999999972E10	-1.88567242593127915E2
3.05909999999999993E10	-1.88556637445267272E2
3.05919999999999970E10	-1.88546030854645608E2
3.05929999999999991E10	-1.88535422820788412E2
3.05940000000000012E10	-1.88524813343220710E2
3.05949999999999989E10	-1.88514202421467369E2
3.05959999999999965E10	-1.88503590055053172E2
3.05969999999999986E10	-1.88492976243502541E2
3.05980000000000008E10	-1.88482360986339614E2
3.05989999999999984E10	-1.88471744283088549E2
3.06000000000000005E10	-1.88461126133273038E2
3.06009999999999982E10	-1.88450506536416640E2
3.06019999999999959E10	-1.88439885492042758E2
3.06030000000000024E10	-1.88429262999674418E2
3.06040000000000045E10	-1.88418639058834581E2
3.06050000000000022E10	-1.88408013669045937E2
