nu_preset_GHz,delta_nu_percent,ne_error_mean_abs_percent,coverage_95CI_percent
0.5,-66.6666666666667,17.9548465667131,100
1,-33.3333333333333,31.1305937663417,100
1.5,0,9.89524412231508,100
2,33.3333333333333,8.81417686488174,100
3,100,12.202909737939,100
4.5,200,16.9407042345909,100
