#Parameters = {D_0=150; D_1=160; D_2=170; D_3=180; D_4=190; D_5=200; D_6=210; R_0=4; R_horn=100; T=1; a=7.112; a_horn=21; b=3.556; b_horn=15.5; d=22.5756394418; d2=14.198361494191; delta=0.005; f=200; f2=350; h_back=8; h_back_2=20; h_back_back=20; h_horn=213.67261386413; h_horn2=43; l_la=650; l_plasma=200; n=1.9493588689618; ne0=218400000000; ne1=176000000000; ne2=168000000000; ne3=155000000000; ne4=134000000000; ne5=102000000000; ne6=29300000000; ve1=1500000000; xx=8.903025577672; y_move=0; yy=8.903025577672; z_move=20}
#"Frequency / GHz"	"1e17 [Real Part]"
#------------------------------------
26.006999969482	4.3823550642669
26.020999908447	4.3845449810933
26.034999847412	4.3830713455715
26.048999786377	4.3782015051985
26.062999725342	4.3707057897208
26.090999603271	4.3526987642156
26.104999542236	4.3449796151469
26.118999481201	4.3398173314557
26.132999420166	4.3380025560601
26.146999359131	4.3397911982480
26.160999298096	4.3448045287974
26.174999237061	4.3521102870009
26.188999176025	4.3603931164988
26.202999114990	4.3681630969870
26.217000007629	4.3734012945414
26.231000900269	4.3767472754849
26.245000839233	4.3757036881102
26.259000778198	4.3707067737763
26.273000717163	4.3621358896625
26.287000656128	4.3509475313125
26.315000534058	4.3265343097732
26.329000473023	4.3166384834966
26.343000411987	4.3102516430180
26.357000350952	4.3083070255351
26.371000289917	4.3110388685151
26.385000228882	4.3179572061724
26.399000167847	4.3279613302203
26.413000106811	4.3395188989918
26.427000045776	4.3509703736839
26.440999984741	4.3607805589010
26.454999923706	4.3677659841470
26.468999862671	4.3712474689444
26.482999801636	4.3711128753912
26.496999740601	4.3678068287855
26.510999679565	4.3622849942524
26.524999618530	4.3558204012572
26.552999496460	4.3456912886100
26.566999435425	4.3443543212176
26.580999374390	4.3463227671888
26.594999313354	4.3514484906985
26.608999252319	4.3589898798890
26.622999191284	4.3677458675534
26.636999130249	4.3762449666258
26.651000022888	4.3824015228294
26.665000915527	4.3867197735875
26.679000854492	4.3865071782359
26.693000793457	4.3819697236724
26.707000732422	4.3733081242585
26.721000671387	4.3612691943324
26.735000610352	4.3471371486275
26.749000549316	4.3325649644592
26.777000427246	4.3090642422800
26.791000366211	4.3030276684742
26.805000305176	4.3017849727159
26.819000244141	4.3051629068469
26.833000183106	4.3122481808565
26.847000122070	4.3215827057142
26.861000061035	4.3314515997245
26.875000000000	4.3401439156118
26.888999938965	4.3462586835247
26.902999877930	4.3488752468330
26.916999816894	4.3476997753268
26.930999755859	4.3430487733655
26.944999694824	4.3358556192503
26.958999633789	4.3275085839079
26.972999572754	4.3196454991293
27.000999450684	4.3115999317985
27.014999389648	4.3135688608774
27.028999328613	4.3198802382494
27.042999267578	4.3299307869596
27.056999206543	4.3425071112880
27.070999145508	4.3560316242214
27.084999084473	4.3688226936005
27.098999977112	4.3787775440381
27.113000869751	4.3865499311390
27.127000808716	4.3897001876425
27.141000747681	4.3887718575022
27.155000686646	4.3842552374709
27.169000625610	4.3771456745762
27.183000564575	4.3687815649911
27.197000503540	4.3606832426294
27.211000442505	4.3542867177426
27.239000320435	4.3506596570149
27.253000259399	4.3540573320098
27.267000198364	4.3603041669932
27.281000137329	4.3682828359610
27.295000076294	4.3765489956077
27.309000015259	4.3836013908983
27.322999954224	4.3881356439938
27.336999893189	4.3891651045613
27.350999832153	4.3862324779036
27.364999771118	4.3794412779752
27.378999710083	4.3694617921525
27.392999649048	4.3574847816397
27.406999588013	4.3450603259980
27.420999526977	4.3338985876711
27.434999465942	4.3255920028260
27.462999343872	4.3218372852553
27.476999282837	4.3268657411714
27.490999221802	4.3356239768337
27.504999160767	4.3467076416608
27.518999099731	4.3584432872526
27.532999992371	4.3684786549494
27.547000885010	4.3771279662380
27.561000823975	4.3814991868601
27.575000762939	4.3816516072226
27.589000701904	4.3776322811438
27.603000640869	4.3700722516569
27.617000579834	4.3600973461993
27.631000518799	4.3491990473664
27.645000457764	4.3390179746586
27.659000396729	4.3311025853153
27.673000335693	4.3266537403614
27.701000213623	4.3300530550940
27.715000152588	4.3372061196629
27.729000091553	4.3465401823748
27.743000030518	4.3565790338777
27.756999969482	4.3657599037184
27.770999908447	4.3727354722290
27.784999847412	4.3765117938410
27.798999786377	4.3766029796232
27.812999725342	4.3730525624176
27.826999664307	4.3664329036940
27.840999603271	4.3577538075710
27.854999542236	4.3483420887624
27.868999481201	4.3396232883861
27.882999420166	4.3329424438789
27.896999359131	4.3292855320463
27.924999237061	4.3324948186082
27.938999176025	4.3386262579698
27.952999114990	4.3464538543875
27.967000007629	4.3540836160133
27.981000900269	4.3619245095989
27.995000839233	4.3670409929647
28.009000778198	4.3692045090409
28.023000717163	4.3680493486597
28.037000656128	4.3636949469421
28.051000595093	4.3567309387619
28.065000534058	4.3481393995785
28.079000473023	4.3391594093584
28.093000411987	4.3310986251088
28.107000350952	4.3251388931398
28.121000289917	4.3221608107520
28.149000167847	4.3261086640625
28.163000106811	4.3322394575153
28.177000045776	4.3399150790825
28.190999984741	4.3478898257619
28.204999923706	4.3549588223456
28.218999862671	4.3600968029006
28.232999801636	4.3625864306684
28.246999740601	4.3621439892598
28.260999679565	4.3589111818251
28.274999618530	4.3534404497901
28.288999557495	4.3466151181810
28.302999496460	4.3395200162045
28.316999435425	4.3332804551227
28.330999374390	4.3288848521363
28.344999313354	4.3270444068141
28.358999252319	4.3280304701676
28.386999130249	4.3374434075354
28.401000022888	4.3438111709559
28.415000915527	4.3515272847908
28.429000854492	4.3577829822263
28.443000793457	4.3622988633847
