#Parameters = {D_0=150; D_1=160; D_2=170; D_3=180; D_4=190; D_5=200; D_6=210; R_0=4; R_horn=100; T=1; a=7.112; a_horn=21; b=3.556; b_horn=15.5; d=22.5756394418; d2=14.198361494191; delta=0.005; f=200; f2=350; h_back=8; h_back_2=20; h_back_back=20; h_horn=213.67261386413; h_horn2=43; l_la=650; l_plasma=200; n=1.9493588689618; ne0=218400000000; ne1=176000000000; ne2=168000000000; ne3=155000000000; ne4=134000000000; ne5=102000000000; ne6=29300000000; ve1=1500000000; xx=8.903025577672; y_move=0; yy=8.903025577672; z_move=20}
#"Frequency / GHz"	"28.98E9_1.5E9 [Real Part]"
#---------------------------------------------
20.030000686646	6.4761748017027
20.050000190735	6.5371740254142
20.069999694824	6.6424982842690
20.090000152588	6.8004652165181
20.110000610352	7.0128275289211
20.130000114441	7.2657454909223
20.170000076294	7.6496372912378
20.190000534058	7.6218482987916
20.210000038147	7.4380008028134
20.229999542236	7.1811136866054
20.250000000000	6.9331777553521
20.270000457764	6.7319808677583
20.309999465942	6.4889587019082
20.329999923706	6.4364713771103
20.350000381470	6.4238394806983
20.369999885559	6.4510505829332
20.389999389648	6.5193820869552
20.409999847412	6.6373691782528
20.430000305176	6.8129207467625
20.469999313354	7.3316116354953
20.489999771118	7.5950247322350
20.510000228882	7.7325330767155
20.530000686646	7.6672868241933
20.550000190735	7.4367553812680
20.590000152588	6.8849661115853
20.610000610352	6.6812135908377
20.630000114441	6.5382265265037
20.649999618530	6.4462486094922
20.670000076294	6.3995035404308
20.690000534058	6.3931079155077
20.710000038147	6.4275175983725
20.750000000000	6.6363358436942
20.770000457764	6.8313881413505
20.789999961853	7.0966506238621
20.809999465942	7.4094555994322
20.829999923706	7.6927405917292
20.850000381470	7.8150571802810
20.889999389648	7.4191753059761
20.909999847412	7.1011288474420
20.930000305176	6.8294245429186
20.949999809265	6.6275503396681
20.969999313354	6.4886413451393
20.989999771118	6.4036577214535
21.030000686646	6.3636973932396
21.050000190735	6.4057324806140
21.069999694824	6.4932482578522
21.090000152588	6.6386560634883
21.110000610352	6.8550663585896
21.130000114441	7.1506639438223
21.149999618530	7.4975082032684
21.190000534058	7.8930660299130
21.210000038147	7.7205041980085
21.229999542236	7.3870652263740
21.250000000000	7.0450867497637
21.270000457764	6.7691732954574
21.309999465942	6.4399227226512
21.329999923706	6.3621833144053
21.350000381470	6.3288923917637
21.369999885559	6.3368822256195
21.389999389648	6.3859003362315
21.409999847412	6.4849637972024
21.430000305176	6.6466422755296
21.469999313354	7.2189452772889
21.489999771118	7.6051318185701
21.510000228882	7.9167909264400
21.530000686646	7.9688392548213
21.550000190735	7.7228853982770
21.569999694824	7.3374407271537
21.610000610352	6.7018971881361
21.630000114441	6.5121499200138
21.649999618530	6.3890254635250
21.670000076294	6.3193854368440
21.690000534058	6.2935060356903
21.710000038147	6.3088687630143
21.729999542236	6.3664303756787
21.770000457764	6.6567558067667
21.789999961853	6.9275081896709
21.809999465942	7.2996731484539
21.829999923706	7.7299276724713
21.850000381470	8.0481075616031
21.889999389648	7.7087652118694
21.909999847412	7.2749524176972
21.930000305176	6.9021634414712
21.949999809265	6.6326652141471
21.969999313354	6.4512831696958
21.989999771118	6.3383121794733
22.010000228882	6.2770511234262
22.050000190735	6.2814436489339
22.069999694824	6.3477789075939
22.090000152588	6.4708547761273
22.110000610352	6.6701368328818
22.130000114441	6.9733147894369
22.149999618530	7.3936892501895
22.190000534058	8.1847810502229
22.210000038147	8.0939843771682
22.229999542236	7.6728953141569
22.250000000000	7.1978954473558
22.270000457764	6.8208617512049
22.289999961853	6.5606242752227
22.329999923706	6.2876724928093
22.350000381470	6.2347424799939
22.369999885559	6.2241733445192
22.389999389648	6.2529669396465
22.409999847412	6.3286113096540
22.430000305176	6.4645698332503
22.449999809265	6.6862176434091
22.489999771118	7.5051397049369
22.510000228882	8.0386975901974
22.530000686646	8.3340235259357
22.550000190735	8.1356511593525
22.569999694824	7.6186935854135
22.610000610352	6.7347304090638
22.630000114441	6.4866796110135
22.649999618530	6.3290406142731
22.670000076294	6.2362992304941
22.690000534058	6.1915073641787
22.710000038147	6.1878336988860
22.729999542236	6.2234412314439
22.770000457764	6.4566986598736
22.789999961853	6.7020248836829
22.809999465942	7.0854659111288
22.829999923706	7.6354709162580
22.850000381470	8.2340925852376
22.869999885559	8.4938538244397
22.909999847412	7.5455250169140
22.930000305176	7.0122703253002
22.949999809265	6.6459737455606
22.969999313354	6.4112102779394
22.989999771118	6.2671170230803
23.010000228882	6.1844190128760
23.050000190735	6.1499693901588
23.069999694824	6.1917210356781
23.090000152588	6.2836528359393
23.110000610352	6.4457518214737
23.130000114441	6.7161786003018
23.149999618530	7.1497467989879
23.170000076294	7.7856386263795
23.210000038147	8.6588194069249
23.229999542236	8.1604604678338
23.250000000000	7.4549161466513
23.270000457764	6.9082489358368
23.289999961853	6.5552675000214
23.329999923706	6.2053492527633
23.350000381470	6.1321251635499
23.369999885559	6.1024996019250
23.389999389648	6.1092631124166
23.409999847412	6.1564457609222
23.430000305176	6.2545496308604
23.449999809265	6.4283534624987
23.489999771118	7.2096136502534
23.510000228882	7.9473875151297
23.530000686646	8.7156928477085
23.550000190735	8.8292710556978
23.569999694824	8.1465715640452
23.590000152588	7.3571864132495
23.630000114441	6.4681456309706
23.649999618530	6.2651148729803
23.670000076294	6.1458118803102
23.690000534058	6.0809211695870
23.710000038147	6.0570048931391
23.729999542236	6.0677737174935
23.750000000000	6.1182557456495
23.789999961853	6.4030179601655
