#Parameters = {D_0=150; D_1=160; D_2=170; D_3=180; D_4=190; D_5=200; D_6=210; R_0=4; R_horn=100; T=1; a=7.112; a_horn=21; b=3.556; b_horn=15.5; d=22.5756394418; d2=14.198361494191; delta=0.005; f=200; f2=350; h_back=8; h_back_2=20; h_back_back=20; h_horn=213.67261386413; h_horn2=43; l_la=650; l_plasma=200; n=1.9493588689618; ne0=218400000000; ne1=176000000000; ne2=168000000000; ne3=155000000000; ne4=134000000000; ne5=102000000000; ne6=29300000000; ve1=1500000000; xx=8.903025577672; y_move=0; yy=8.903025577672; z_move=20}
#"Frequency / GHz"	"27.5E9 [Real Part]"
#--------------------------------------
20.010000228882	5.4581880625765
20.050000190735	5.4461174992694
20.069999694824	5.4407538028620
20.090000152588	5.4356287368575
20.110000610352	5.4296104517241
20.130000114441	5.4224575310066
20.149999618530	5.4113556039798
20.170000076294	5.3954410211187
20.190000534058	5.3688303345202
20.210000038147	5.3178734840470
20.250000000000	4.7074294945414
20.270000457764	-5.2805589475770
20.329999923706	5.1770971954636
20.350000381470	5.2990979182208
20.369999885559	5.3457902010677
20.389999389648	5.3654237535542
20.409999847412	5.3735229244710
20.430000305176	5.3744049279157
20.449999809265	5.3700676632334
20.469999313354	5.3585792853874
20.510000228882	5.3057964923440
20.530000686646	5.2448081327884
20.550000190735	5.1186911949123
20.569999694824	4.7850797587894
20.590000152588	3.3374643664620
20.610000610352	-7.4896254445758
20.630000114441	-0.31618704904871
20.649999618530	4.3296734279920
20.670000076294	4.9773980282977
20.690000534058	5.1736308765627
20.710000038147	5.2557045166046
20.729999542236	5.2937009130384
20.750000000000	5.3113300693603
20.789999961853	5.3116322735577
20.809999465942	5.2954150155536
20.829999923706	5.2652425440047
20.850000381470	5.2107560907838
20.869999885559	5.1078337223754
20.889999389648	4.8834200216790
20.909999847412	4.2607754308784
20.930000305176	1.5012261272585
20.949999809265	-5.7130172775356
20.969999313354	1.4241754475555
20.989999771118	4.2388968268000
21.010000228882	4.8661562989868
21.030000686646	5.0874566508493
21.069999694824	5.2344265378740
21.090000152588	5.2569113292372
21.110000610352	5.2628411606618
21.130000114441	5.2555388083306
21.149999618530	5.2321433991046
21.170000076294	5.1878724139298
21.190000534058	5.1065883802145
21.210000038147	4.9489285704950
21.250000000000	3.5750255792156
21.270000457764	-0.29493224004947
21.289999961853	-3.1246512698775
21.309999465942	2.3559606154711
21.329999923706	4.2487504469988
21.350000381470	4.8055005775442
21.369999885559	5.0272950629206
21.389999389648	5.1312573331270
21.409999847412	5.1836035262362
21.430000305176	5.2074443953889
21.449999809265	5.2123386686580
21.469999313354	5.1990597994639
21.489999771118	5.1662447388247
21.530000686646	4.9880529718807
21.550000190735	4.7589150350830
21.569999694824	4.2310308765189
21.590000152588	2.7209511819076
21.610000610352	-1.2488902555001
21.630000114441	-0.83869347069634
21.649999618530	2.9469382943134
21.670000076294	4.2955514066391
21.690000534058	4.7739592421068
21.710000038147	4.9834116491028
21.729999542236	5.0861622424141
21.750000000000	5.1383891338881
21.789999961853	5.1618300907250
21.809999465942	5.1411476304677
21.829999923706	5.0951812911148
21.850000381470	5.0092363742877
21.869999885559	4.8495585419736
21.889999389648	4.5262372705188
21.909999847412	3.7763575463258
21.930000305176	1.7934602809695
21.949999809265	-1.1525335599869
21.969999313354	0.78448995268484
21.989999771118	3.3535804798688
22.010000228882	4.3525891208441
22.030000686646	4.7585953961723
22.069999694824	5.0474289610221
22.090000152588	5.0965520447458
22.110000610352	5.1151439952238
22.130000114441	5.1101405714811
22.149999618530	5.0793981819167
22.170000076294	5.0164068654520
22.190000534058	4.9003740261279
22.210000038147	4.6834621383819
22.229999542236	4.2404401505631
22.270000457764	1.0155878725244
22.289999961853	-0.37886378498311
22.309999465942	1.8703170449780
22.329999923706	3.6506740255771
22.350000381470	4.4106046645736
22.369999885559	4.7532640964381
22.389999389648	4.9236247248729
22.409999847412	5.0128793218334
22.430000305176	5.0564331093571
22.449999809265	5.0694954390740
22.469999313354	5.0550290645533
22.489999771118	5.0115426181318
22.530000686646	4.7721931540671
22.550000190735	4.4825714143772
22.569999694824	3.8937296373769
22.590000152588	2.6338770941565
22.610000610352	0.64941643386233
22.630000114441	0.61982207154650
22.649999618530	2.5982469131516
22.670000076294	3.8696755623203
22.690000534058	4.4613330826398
22.710000038147	4.7503676136271
22.729999542236	4.9005710943178
22.750000000000	4.9799442734910
22.770000457764	5.0162667177703
22.809999465942	4.9961812959860
22.829999923706	4.9361028314534
22.850000381470	4.8239901141111
22.869999885559	4.6222803963286
22.889999389648	4.2436511668619
22.909999847412	3.4964744685452
22.930000305176	2.0995595134282
22.949999809265	0.75046636773150
22.969999313354	1.5234121794272
22.989999771118	3.0979000315858
23.010000228882	4.0357406105519
23.030000686646	4.5051688785790
23.069999694824	4.8798485813188
23.090000152588	4.9483401005833
23.110000610352	4.9759750186025
23.130000114441	4.9714746883822
23.149999618530	4.9329764512706
23.170000076294	4.8527323735328
23.190000534058	4.7076231576096
23.210000038147	4.4489459063987
23.229999542236	3.9706499476974
23.250000000000	3.0817071167560
23.270000457764	1.7489188762325
23.309999465942	2.2341001306316
23.329999923706	3.4518997673754
23.350000381470	4.1647941318889
23.369999885559	4.5436272120282
23.389999389648	4.7487083989111
23.409999847412	4.8614124400776
23.430000305176	4.9183927323754
23.449999809265	4.9366008800230
23.469999313354	4.9198244801192
23.489999771118	4.8662342562507
23.510000228882	4.7622761363917
23.550000190735	4.2552286476164
23.569999694824	3.6750054473646
23.590000152588	2.7017561910311
