index,region,source,f_GHz,tau_ns,win_len
1,other,fixed,20.000000,0.551727,150
2,other,fixed,20.500000,0.600004,150
3,other,fixed,21.000000,0.732805,150
4,other,fixed,21.500000,0.639294,150
5,other,fixed,22.000000,0.343260,150
6,other,fixed,25.000000,0.544391,150
7,other,fixed,25.500000,0.560661,150
8,other,fixed,29.000000,1.135853,150
9,other,fixed,29.500000,1.322658,150
10,other,fixed,30.000000,1.194395,150
11,other,fixed,30.500000,1.058730,150
12,other,fixed,31.000000,2.661869,150
13,other,fixed,34.000000,1.640236,150
14,other,fixed,34.500000,1.919579,150
15,other,fixed,35.000000,2.656660,150
16,other,fixed,35.500000,2.732891,150
17,other,fixed,36.000000,2.908021,150
18,left_edge,fixed,36.500000,3.433250,150
19,other,adapt,36.923077,3.806861,120
20,right_edge,refine,37.230769,2.953487,150
21,right_edge,refine,37.461538,2.276475,150
22,right_edge,fixed,37.500000,2.110246,150
23,other,fixed,38.000000,2.947548,150
24,other,fixed,39.000000,1.768986,150
25,other,fixed,40.000000,0.651798,150
26,other,fixed,40.500000,2.078920,150
27,other,fixed,41.000000,2.033479,150
28,other,fixed,41.500000,1.643672,150
29,other,fixed,42.000000,1.667688,150
30,other,fixed,42.500000,2.489254,150
31,other,fixed,43.000000,1.473027,150
32,other,fixed,43.500000,0.559896,150
33,other,fixed,45.500000,1.756335,150
34,other,fixed,46.000000,1.592092,150
35,other,fixed,47.500000,1.470132,150
36,other,fixed,50.500000,0.463405,150
37,other,fixed,51.000000,0.724360,150
38,other,fixed,51.500000,0.804607,150
